"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","34.252.113.116","TLSv1.2","613","Application Data"
"2","0.000278409","34.252.113.116","10.0.2.15","TCP","60","443  >  54022 [ACK] Seq=1 Ack=560 Win=65535 Len=0"
"3","0.057438358","34.252.113.116","10.0.2.15","TLSv1.2","609","Application Data, Application Data"
"4","0.057474569","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=560 Ack=556 Win=65535 Len=0"
"5","0.057933345","34.252.113.116","10.0.2.15","TLSv1.2","930","Application Data"
"6","0.057944750","10.0.2.15","34.252.113.116","TCP","54","54022  >  443 [ACK] Seq=560 Ack=1432 Win=65535 Len=0"
"7","0.619619209","10.0.2.15","65.9.66.20","TLSv1.2","78","Application Data"
"8","0.619651739","10.0.2.15","65.9.66.20","TCP","54","44822  >  443 [FIN, ACK] Seq=25 Ack=1 Win=65535 Len=0"
"9","0.619909517","65.9.66.20","10.0.2.15","TCP","60","443  >  44822 [ACK] Seq=1 Ack=25 Win=65535 Len=0"
"10","0.619909605","65.9.66.20","10.0.2.15","TCP","60","443  >  44822 [ACK] Seq=1 Ack=26 Win=65535 Len=0"
"11","0.628865952","65.9.66.20","10.0.2.15","TCP","60","443  >  44822 [FIN, ACK] Seq=1 Ack=26 Win=65535 Len=0"
"12","0.629004123","10.0.2.15","65.9.66.20","TCP","54","44822  >  443 [ACK] Seq=26 Ack=2 Win=52512 Len=0"
"13","1.000252547","10.0.2.15","13.225.87.40","TLSv1.2","93","Application Data"
"14","1.000528935","13.225.87.40","10.0.2.15","TCP","60","443  >  51232 [ACK] Seq=1 Ack=40 Win=65535 Len=0"
"15","1.009837223","13.225.87.40","10.0.2.15","TLSv1.2","93","Application Data"
"16","1.009857396","10.0.2.15","13.225.87.40","TCP","54","51232  >  443 [ACK] Seq=40 Ack=40 Win=63360 Len=0"
"17","1.474789754","10.0.2.15","13.32.23.197","TCP","54","53922  >  80 [ACK] Seq=1 Ack=1 Win=63315 Len=0"
"18","1.475008066","13.32.23.197","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 80  >  53922 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"19","2.499896015","10.0.2.15","52.94.223.32","TCP","54","42822  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"20","2.499929707","10.0.2.15","52.94.223.32","TCP","54","42826  >  443 [ACK] Seq=1 Ack=1 Win=63882 Len=0"
"21","2.500295233","52.94.223.32","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  42822 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"22","2.500295329","52.94.223.32","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  42826 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
